Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/Iptal Et-Geri Al,Chrome 94.0.4606.81,,,2021-10-15 17:16:06,2021-10-15 17:16:49,"42,896s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:16:06,2021-10-15 17:16:09,"3,733s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/Iptal Et-Geri Al.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:16:10,2021-10-15 17:16:48,"37,726s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:16:48,2021-10-15 17:16:49,"0,738s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/Izleme Kayitlari,Chrome 94.0.4606.81,,,2021-10-15 17:16:49,2021-10-15 17:17:29,"40,105s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:16:49,2021-10-15 17:16:54,"5,576s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/Izleme Kayitlari.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:16:55,2021-10-15 17:17:28,"33,205s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:17:28,2021-10-15 17:17:29,"0,831s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/Statu Ata,Chrome 94.0.4606.81,,,2021-10-15 17:17:29,2021-10-15 17:18:10,"41,658s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:17:29,2021-10-15 17:17:35,"5,928s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/Statu Ata.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:17:35,2021-10-15 17:18:10,"34,294s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:18:10,2021-10-15 17:18:10,"0,752s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzlari/UBL,Chrome 94.0.4606.81,,,2021-10-15 17:18:10,2021-10-15 17:18:40,"29,825s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:18:10,2021-10-15 17:18:14,"3,891s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzlari/UBL.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:18:15,2021-10-15 17:18:40,"24,662s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:18:40,2021-10-15 17:18:40,"0,649s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzu Olusturma/Ekle/Elektronik Tipinde,Chrome 94.0.4606.81,,,2021-10-15 17:18:40,2021-10-15 17:20:12,"1m - 31,863s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:18:40,2021-10-15 17:18:44,"3,516s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzu Olusturma/Ekle/Elektronik Tipinde.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:18:44,2021-10-15 17:20:11,"1m - 27,209s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:20:11,2021-10-15 17:20:12,"0,669s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuzu Olusturma/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:20:12,2021-10-15 17:20:46,"33,681s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:20:12,2021-10-15 17:20:16,"3,750s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuzu Olusturma/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:20:16,2021-10-15 17:20:45,"28,672s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:46,"0,701s",PASSED
,,,,,,,
Test Cases/Butonlar/ButonVarMi,Chrome 94.0.4606.81,,,2021-10-15 17:20:41,2021-10-15 17:20:41,"0,429s",PASSED
"Method.TextDegerineEsitElementVarMi(findTestObject(""Butonlar/Butonlar""), Buton)",Chrome 94.0.4606.81,,,2021-10-15 17:20:41,2021-10-15 17:20:41,"0,424s",PASSED
